link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,from_biway,is_link,vdf_toll,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes
407,84,3053,1,41.65,1,90,99999,connector,0,"LINESTRING (-111.96353935265158 33.32620636418218, -111.9631148 33.3263247)",1,0,0,,0.15,4,1,0.03,55.0,55.0,0.03,,,,
408,3053,84,1,41.65,1,90,99999,connector,0,"LINESTRING (-111.9631148 33.3263247, -111.96353935265158 33.32620636418218)",1,0,0,,0.15,4,1,0.03,55.0,55.0,0.03,,,,
409,86,1213,1,84.33,1,90,99999,connector,0,"LINESTRING (-111.88896865043728 33.39224937763444, -111.8887033 33.3929764)",1,0,0,,0.15,4,1,0.05,55.0,55.0,0.06,,,,
410,1213,86,1,84.33,1,90,99999,connector,0,"LINESTRING (-111.8887033 33.3929764, -111.88896865043728 33.39224937763444)",1,0,0,,0.15,4,1,0.05,55.0,55.0,0.06,,,,
411,87,335,1,450.82,1,90,99999,connector,0,"LINESTRING (-111.91067885653521 33.34370259842498, -111.9105203 33.3396401)",1,0,0,,0.15,4,1,0.28,55.0,55.0,0.3,,,,
412,335,87,1,450.82,1,90,99999,connector,0,"LINESTRING (-111.9105203 33.3396401, -111.91067885653521 33.34370259842498)",1,0,0,,0.15,4,1,0.28,55.0,55.0,0.3,,,,
413,88,322,1,194.14,1,90,99999,connector,0,"LINESTRING (-111.9082114501797 33.34741508604069, -111.906848 33.3487397)",1,0,0,,0.15,4,1,0.12,55.0,55.0,0.13,,,,
414,322,88,1,194.14,1,90,99999,connector,0,"LINESTRING (-111.906848 33.3487397, -111.9082114501797 33.34741508604069)",1,0,0,,0.15,4,1,0.12,55.0,55.0,0.13,,,,
415,89,2380,1,286.05,1,90,99999,connector,0,"LINESTRING (-111.93152404834697 33.36172336890673, -111.9296304 33.3637548)",1,0,0,,0.15,4,1,0.18,55.0,55.0,0.19,,,,
416,2380,89,1,286.05,1,90,99999,connector,0,"LINESTRING (-111.9296304 33.3637548, -111.93152404834697 33.36172336890673)",1,0,0,,0.15,4,1,0.18,55.0,55.0,0.19,,,,
417,90,956,1,273.89,1,90,99999,connector,0,"LINESTRING (-111.95770997573284 33.37860738553143, -111.9606237 33.3782575)",1,0,0,,0.15,4,1,0.17,55.0,55.0,0.18,,,,
418,956,90,1,273.89,1,90,99999,connector,0,"LINESTRING (-111.9606237 33.3782575, -111.95770997573284 33.37860738553143)",1,0,0,,0.15,4,1,0.17,55.0,55.0,0.18,,,,
