zone_id,origin_count,origin_avg_distance_mile,origin_avg_distance_km,origin_avg_free_flow,origin_avg_congestion,destination_count,destination_avg_distance_mile,destination_avg_distance_km,destination_avg_free_flow,destination_avg_congestion
28,272,5.77,9.28,7.24,7.24,272,5.68,9.14,6.87,6.87
29,272,5.62,9.05,7.49,7.49,272,5.41,8.71,7.78,7.78
30,272,5.61,9.02,6.22,6.22,272,5.29,8.51,7.59,7.59
31,272,5.99,9.63,8.72,8.72,272,5.89,9.47,8.82,8.82
32,272,6.07,9.76,8.81,8.81,272,5.97,9.60,8.91,8.91
33,272,5.43,8.73,8.20,8.20,272,5.74,9.23,7.68,7.68
34,272,6.65,10.70,8.39,8.39,272,6.90,11.11,8.28,8.28
35,272,5.76,9.26,6.99,6.99,272,6.08,9.79,6.88,6.88
36,272,5.27,8.47,7.82,7.82,272,5.38,8.66,7.70,7.70
37,272,4.40,7.09,5.81,5.81,272,4.35,7.00,5.84,5.84
38,272,5.41,8.70,7.26,7.26,272,5.26,8.46,7.36,7.36
39,272,5.31,8.54,7.15,7.15,272,5.16,8.30,7.25,7.25
40,272,5.75,9.25,6.59,6.59,272,5.70,9.17,6.25,6.25
41,272,5.71,9.18,7.66,7.66,272,5.61,9.02,7.76,7.76
42,272,6.85,11.01,9.76,9.76,272,5.61,9.02,8.16,8.16
43,272,4.95,7.96,7.02,7.02,272,4.94,7.95,7.04,7.04
44,272,4.53,7.30,6.10,6.10,272,4.56,7.33,6.15,6.15
45,272,7.64,12.30,11.14,11.14,272,7.84,12.62,10.89,10.89
46,272,4.67,7.52,6.67,6.67,272,4.73,7.61,6.58,6.58
47,272,5.72,9.20,7.62,7.62,272,5.47,8.80,7.91,7.91
48,272,4.81,7.74,7.22,7.22,272,4.97,8.00,7.07,7.07
49,272,4.12,6.63,5.24,5.24,272,4.14,6.66,5.17,5.17
50,272,6.73,10.83,7.69,7.69,272,5.95,9.57,8.30,8.30
51,272,5.51,8.86,7.45,7.45,272,5.41,8.70,7.55,7.55
52,272,3.77,6.07,4.90,4.90,272,3.84,6.18,4.78,4.78
53,272,3.82,6.14,5.08,5.08,272,3.83,6.16,5.10,5.10
54,272,4.28,6.89,5.78,5.78,272,4.31,6.93,5.84,5.84
55,272,4.99,8.03,6.10,6.10,272,4.94,7.96,5.81,5.81
56,272,4.87,7.84,5.98,5.98,272,4.82,7.76,5.69,5.69
57,272,5.68,9.13,6.75,6.75,272,5.53,8.91,6.32,6.32
58,272,4.37,7.03,5.78,5.78,272,4.36,7.02,5.80,5.80
